order_no,category,amount,currency,period,customer_name,season,drop,fabric_type,fx_rate_to_vnd,converted_amount_vnd,is_orphaned,is_duplicate,row_hash,ingestion_ts,source_file
ORD-004,trim,1500.0,USD,2024-02,Sunrise Apparel,AW24,D2,Linen,26000,39000000.0,False,False,a4985695e0f8afa5b69f3ec7e49844f3210e52251ff6866e71d8e64710f48d33,2026-09-10 10:48:09.567941+00:00,financial_long_format.csv
ORD-004,outsource,3200.0,USD,2024-02,Sunrise Apparel,AW24,D2,Linen,26000,83200000.0,False,False,67f49fa10287fa1eaff7c95768d6ced97d696602d5235c72e7ca06f0aba45aa3,2026-09-10 10:48:09.567941+00:00,financial_long_format.csv
ORD-005,fabric,22000.0,USD,2024-02,New Wave Co.,SS24,D1,Cotton,26000,572000000.0,False,False,8ff882461cb1eb4fd80339db5edbc18d0f3f9b1f3e1024e61c8b0c9775f7c0f0,2026-09-10 10:48:09.567941+00:00,financial_long_format.csv
ORD-005,trim,4100.0,USD,2024-02,New Wave Co.,SS24,D1,Cotton,26000,106600000.0,False,False,1d5b4de2cbda255bf58da275702c09a2091339bedc0ae926bcb6621d2199b00a,2026-09-10 10:48:09.567941+00:00,financial_long_format.csv
ORD-005,outsource,6200.0,EUR,2024-02,New Wave Co.,SS24,D1,Cotton,27000,167400000.0,False,False,c259c6d449210dd9d4286e914e4d124f9568216bbcae06beb7406e0124f0a656,2026-09-10 10:48:09.567941+00:00,financial_long_format.csv
ORD-006,fabric,18500.0,USD,2024-03,Blue Horizon Ltd,AW24,D3,Silk,26000,481000000.0,False,False,f73c7888e3e1e246510ba4be169efb8f9bfdbbeb07c2ab83616c3857b13e2bac,2026-09-10 10:48:09.567941+00:00,financial_long_format.csv
ORD-006,trim,2800.0,USD,2024-03,Blue Horizon Ltd,AW24,D3,Silk,26000,72800000.0,False,False,8d0c9bf92be097f1dbffe7aa4a7f5dbd9eb81d863a2eedf4489a9015fb1637bc,2026-09-10 10:48:09.567941+00:00,financial_long_format.csv
ORD-006,outsource,4100.0,USD,2024-03,Blue Horizon Ltd,AW24,D3,Silk,26000,106600000.0,False,False,0cfe13a4cdaf1eecbf6501a4f1899305e9223097920885dd392ee773d66775a4,2026-09-10 10:48:09.567941+00:00,financial_long_format.csv
ORD-007,fabric,31000.0,EUR,2024-03,Blue Horizon Ltd,AW24,D3,Wool,27000,837000000.0,False,False,ff191e3859dd536234075435145a5c23e4389c900dfdcdaebb9418b6dfa34c97,2026-09-10 10:48:09.567941+00:00,financial_long_format.csv
ORD-007,trim,3600.0,EUR,2024-03,Blue Horizon Ltd,AW24,D3,Wool,27000,97200000.0,False,False,6429e5dbc0e5011006b70099544336d71e1545b908ba157ab28709032b1b022e,2026-09-10 10:48:09.567941+00:00,financial_long_format.csv
ORD-007,outsource,7200.0,EUR,2024-03,Blue Horizon Ltd,AW24,D3,Wool,27000,194400000.0,False,False,3cf1fb81cdc74c30753ffe271b8df06318272d28d5bd29f0f174227716afedea,2026-09-10 10:48:09.567941+00:00,financial_long_format.csv
ORD-008,fabric,9500.0,VND,2024-03,New Wave Co.,SS24,D2,Polyester,1,9500.0,False,False,c785506e4241a50d6ce16ce6c721e4ec65faa26585c47bbaf81cbf6cee292074,2026-09-10 10:48:09.567941+00:00,financial_long_format.csv
ORD-008,trim,1200.0,VND,2024-03,New Wave Co.,SS24,D2,Polyester,1,1200.0,False,False,cca23bccbcdb557324abfefdb0811f5747ff227de3751324e6d68b23b4dee426,2026-09-10 10:48:09.567941+00:00,financial_long_format.csv
ORD-009,fabric,14200.0,USD,2024-04,Sunrise Apparel,SS25,D1,Cotton,26000,369200000.0,False,False,500035afe6ffdbdacd3a1bfbd7d8b6309b5fe9f0558b93dafa13bdb28d6693cb,2026-09-10 10:48:09.567941+00:00,financial_long_format.csv
ORD-009,trim,2100.0,USD,2024-04,Sunrise Apparel,SS25,D1,Cotton,26000,54600000.0,False,False,b0fde060ef5ae15dac89cb43c8e7824a8a196d0d9d40a187e7812a08d20e4e57,2026-09-10 10:48:09.567941+00:00,financial_long_format.csv
ORD-009,outsource,3800.0,USD,2024-04,Sunrise Apparel,SS25,D1,Cotton,26000,98800000.0,False,False,a22e5f232efd47fd0d677251bb17416011864f1c6f635d5bba6f09184723d82b,2026-09-10 10:48:09.567941+00:00,financial_long_format.csv
ORD-010,fabric,26500.0,EUR,2024-04,New Wave Co.,SS25,D1,Linen,27000,715500000.0,False,False,67b68e13ba82f53874a718ef319ad4fdf11a7e3744aa630a3c878da80555496c,2026-09-10 10:48:09.567941+00:00,financial_long_format.csv
ORD-010,trim,4100.0,EUR,2024-04,New Wave Co.,SS25,D1,Linen,27000,110700000.0,False,False,d622170f5dcc8a2ff624ac9c68bd809e2055aee98ce8aba8f6b6b5ec00ec7ad0,2026-09-10 10:48:09.567941+00:00,financial_long_format.csv
ORD-010,outsource,5900.0,EUR,2024-04,New Wave Co.,SS25,D1,Linen,27000,159300000.0,False,False,20062cc0f7a34aa5a6c0f0cfe5e8ebc6ecb2ba7b4910fc4fe2d9254cbdf4f53e,2026-09-10 10:48:09.567941+00:00,financial_long_format.csv
ORD-099,fabric,5000.0,USD,2024-02,Unknown Client,SS24,D1,Cotton,26000,130000000.0,True,False,e2817a3fea8132deeec8a0a6644de88858090d0f53507ce601ec11ac38801fe0,2026-09-10 10:48:09.567941+00:00,financial_long_format.csv
ORD-099,trim,1200.0,USD,2024-02,Unknown Client,SS24,D1,Cotton,26000,31200000.0,True,False,143e4133ff7e2a7d74095d0a2c998fa1bd4047c1abbae930cffb5621ceadf0b5,2026-09-10 10:48:09.567941+00:00,financial_long_format.csv
