UA_ID,KPI_Name,Sub_KPI_Type,Period,actual_value,target_value,achievement_pct,unit,is_missing_actual
UA-004,CMP Cost Ratio,Indirect,2024-06,0.03,0.03,100.0,%,False
UA-004,CMP Cost Ratio,Indirect,2024-07,,0.03,,%,True
UA-004,CMP Cost Ratio,Indirect,2024-08,0.04,0.03,66.67,%,False
UA-004,CMP Cost Ratio,Indirect,2024-09,0.03,0.03,100.0,%,False
UA-004,CMP Cost Ratio,Indirect,2024-10,0.03,0.03,100.0,%,False
UA-004,CMP Cost Ratio,Indirect,2024-11,0.03,0.03,100.0,%,False
UA-004,CMP Cost Ratio,Indirect,2024-12,0.03,0.03,100.0,%,False
UA-001,OT Cost Ratio,Direct,2024-01,0.11,0.12,108.33,%,False
UA-001,OT Cost Ratio,Direct,2024-02,0.13,0.12,91.67,%,False
UA-001,OT Cost Ratio,Direct,2024-03,0.14,0.12,83.33,%,False
UA-001,OT Cost Ratio,Direct,2024-04,,0.12,,%,True
UA-001,OT Cost Ratio,Direct,2024-05,0.12,0.12,100.0,%,False
UA-001,OT Cost Ratio,Direct,2024-06,0.11,0.12,108.33,%,False
UA-001,OT Cost Ratio,Direct,2024-07,,0.12,,%,True
UA-001,OT Cost Ratio,Direct,2024-08,0.15,0.12,75.0,%,False
UA-001,OT Cost Ratio,Direct,2024-09,0.12,0.12,100.0,%,False
UA-001,OT Cost Ratio,Direct,2024-10,0.11,0.12,108.33,%,False
UA-001,OT Cost Ratio,Direct,2024-11,0.13,0.12,91.67,%,False
UA-001,OT Cost Ratio,Direct,2024-12,,0.12,,%,True
UA-002,OT Cost Ratio,Indirect,2024-01,0.04,0.05,120.0,%,False
UA-002,OT Cost Ratio,Indirect,2024-02,0.05,0.05,100.0,%,False
UA-002,OT Cost Ratio,Indirect,2024-03,0.06,0.05,80.0,%,False
UA-002,OT Cost Ratio,Indirect,2024-04,0.05,0.05,100.0,%,False
UA-002,OT Cost Ratio,Indirect,2024-05,,0.05,,%,True
UA-002,OT Cost Ratio,Indirect,2024-06,0.04,0.05,120.0,%,False
UA-002,OT Cost Ratio,Indirect,2024-07,0.05,0.05,100.0,%,False
UA-002,OT Cost Ratio,Indirect,2024-08,0.06,0.05,80.0,%,False
UA-002,OT Cost Ratio,Indirect,2024-09,0.04,0.05,120.0,%,False
UA-002,OT Cost Ratio,Indirect,2024-10,0.05,0.05,100.0,%,False
UA-002,OT Cost Ratio,Indirect,2024-11,0.05,0.05,100.0,%,False
UA-002,OT Cost Ratio,Indirect,2024-12,0.06,0.05,80.0,%,False
UA-006,FOB Revenue,Domestic,2024-01,24000.0,300000.0,8.0,Number,False
UA-006,FOB Revenue,Domestic,2024-02,26000.0,300000.0,8.67,Number,False
UA-006,FOB Revenue,Domestic,2024-03,,300000.0,,Number,True
UA-006,FOB Revenue,Domestic,2024-04,28000.0,300000.0,9.33,Number,False
UA-006,FOB Revenue,Domestic,2024-05,25000.0,300000.0,8.33,Number,False
UA-006,FOB Revenue,Domestic,2024-06,27000.0,300000.0,9.0,Number,False
UA-006,FOB Revenue,Domestic,2024-07,26000.0,300000.0,8.67,Number,False
UA-006,FOB Revenue,Domestic,2024-08,28000.0,300000.0,9.33,Number,False
UA-006,FOB Revenue,Domestic,2024-09,,300000.0,,Number,True
UA-006,FOB Revenue,Domestic,2024-10,27000.0,300000.0,9.0,Number,False
UA-006,FOB Revenue,Domestic,2024-11,25000.0,300000.0,8.33,Number,False
UA-006,FOB Revenue,Domestic,2024-12,26000.0,300000.0,8.67,Number,False
UA-005,FOB Revenue,Export,2024-01,98000.0,1200000.0,8.17,Number,False
UA-005,FOB Revenue,Export,2024-02,105000.0,1200000.0,8.75,Number,False
UA-005,FOB Revenue,Export,2024-03,112000.0,1200000.0,9.33,Number,False
UA-005,FOB Revenue,Export,2024-04,,1200000.0,,Number,True
UA-005,FOB Revenue,Export,2024-05,118000.0,1200000.0,9.83,Number,False
UA-005,FOB Revenue,Export,2024-06,121000.0,1200000.0,10.08,Number,False
UA-005,FOB Revenue,Export,2024-07,115000.0,1200000.0,9.58,Number,False
UA-005,FOB Revenue,Export,2024-08,,1200000.0,,Number,True
UA-005,FOB Revenue,Export,2024-09,109000.0,1200000.0,9.08,Number,False
UA-005,FOB Revenue,Export,2024-10,116000.0,1200000.0,9.67,Number,False
UA-005,FOB Revenue,Export,2024-11,120000.0,1200000.0,10.0,Number,False
UA-005,FOB Revenue,Export,2024-12,,1200000.0,,Number,True
UA-008,Fabric Waste Rate,Knit,2024-01,0.05,0.04,75.0,%,False
UA-008,Fabric Waste Rate,Knit,2024-02,0.04,0.04,100.0,%,False
UA-008,Fabric Waste Rate,Knit,2024-03,0.04,0.04,100.0,%,False
UA-008,Fabric Waste Rate,Knit,2024-04,0.05,0.04,75.0,%,False
UA-008,Fabric Waste Rate,Knit,2024-05,,0.04,,%,True
UA-008,Fabric Waste Rate,Knit,2024-06,0.04,0.04,100.0,%,False
UA-008,Fabric Waste Rate,Knit,2024-07,0.04,0.04,100.0,%,False
UA-008,Fabric Waste Rate,Knit,2024-08,0.05,0.04,75.0,%,False
UA-008,Fabric Waste Rate,Knit,2024-09,0.04,0.04,100.0,%,False
UA-008,Fabric Waste Rate,Knit,2024-10,0.04,0.04,100.0,%,False
UA-008,Fabric Waste Rate,Knit,2024-11,0.05,0.04,75.0,%,False
UA-008,Fabric Waste Rate,Knit,2024-12,0.04,0.04,100.0,%,False
UA-009,Fabric Waste Rate,Woven,2024-01,0.07,0.06,83.33,%,False
UA-009,Fabric Waste Rate,Woven,2024-02,0.06,0.06,100.0,%,False
UA-009,Fabric Waste Rate,Woven,2024-03,0.06,0.06,100.0,%,False
UA-009,Fabric Waste Rate,Woven,2024-04,0.07,0.06,83.33,%,False
UA-009,Fabric Waste Rate,Woven,2024-05,0.06,0.06,100.0,%,False
UA-009,Fabric Waste Rate,Woven,2024-06,,0.06,,%,True
UA-009,Fabric Waste Rate,Woven,2024-07,0.07,0.06,83.33,%,False
UA-009,Fabric Waste Rate,Woven,2024-08,0.06,0.06,100.0,%,False
UA-009,Fabric Waste Rate,Woven,2024-09,0.06,0.06,100.0,%,False
UA-009,Fabric Waste Rate,Woven,2024-10,0.07,0.06,83.33,%,False
UA-009,Fabric Waste Rate,Woven,2024-11,0.06,0.06,100.0,%,False
UA-009,Fabric Waste Rate,Woven,2024-12,,0.06,,%,True
UA-007,Fabric Waste Rate,ALL,2024-01,0.06,0.05,80.0,%,False
UA-007,Fabric Waste Rate,ALL,2024-02,0.05,0.05,100.0,%,False
UA-007,Fabric Waste Rate,ALL,2024-03,0.04,0.05,120.0,%,False
UA-007,Fabric Waste Rate,ALL,2024-04,0.06,0.05,80.0,%,False
UA-007,Fabric Waste Rate,ALL,2024-05,0.05,0.05,100.0,%,False
UA-007,Fabric Waste Rate,ALL,2024-06,,0.05,,%,True
UA-007,Fabric Waste Rate,ALL,2024-07,0.07,0.05,60.0,%,False
UA-007,Fabric Waste Rate,ALL,2024-08,0.05,0.05,100.0,%,False
UA-007,Fabric Waste Rate,ALL,2024-09,0.04,0.05,120.0,%,False
UA-007,Fabric Waste Rate,ALL,2024-10,0.06,0.05,80.0,%,False
UA-007,Fabric Waste Rate,ALL,2024-11,0.05,0.05,100.0,%,False
UA-007,Fabric Waste Rate,ALL,2024-12,,0.05,,%,True
OF-006,Headcount,Contractor,2024-01,28.0,30.0,93.33,Number,False
OF-006,Headcount,Contractor,2024-02,30.0,30.0,100.0,Number,False
OF-006,Headcount,Contractor,2024-03,32.0,30.0,106.67,Number,False
OF-006,Headcount,Contractor,2024-04,,30.0,,Number,True
OF-006,Headcount,Contractor,2024-05,31.0,30.0,103.33,Number,False
OF-006,Headcount,Contractor,2024-06,29.0,30.0,96.67,Number,False
OF-006,Headcount,Contractor,2024-07,30.0,30.0,100.0,Number,False
OF-006,Headcount,Contractor,2024-08,,30.0,,Number,True
OF-006,Headcount,Contractor,2024-09,28.0,30.0,93.33,Number,False
OF-006,Headcount,Contractor,2024-10,31.0,30.0,103.33,Number,False
OF-006,Headcount,Contractor,2024-11,32.0,30.0,106.67,Number,False
OF-006,Headcount,Contractor,2024-12,30.0,30.0,100.0,Number,False
OF-004,Headcount,Permanent,2024-01,445.0,450.0,98.89,Number,False
OF-004,Headcount,Permanent,2024-02,448.0,450.0,99.56,Number,False
OF-004,Headcount,Permanent,2024-03,450.0,450.0,100.0,Number,False
OF-004,Headcount,Permanent,2024-04,452.0,450.0,100.44,Number,False
OF-004,Headcount,Permanent,2024-05,,450.0,,Number,True
OF-004,Headcount,Permanent,2024-06,455.0,450.0,101.11,Number,False
OF-004,Headcount,Permanent,2024-07,448.0,450.0,99.56,Number,False
OF-004,Headcount,Permanent,2024-08,450.0,450.0,100.0,Number,False
OF-004,Headcount,Permanent,2024-09,,450.0,,Number,True
OF-004,Headcount,Permanent,2024-10,452.0,450.0,100.44,Number,False
OF-004,Headcount,Permanent,2024-11,455.0,450.0,101.11,Number,False
OF-004,Headcount,Permanent,2024-12,450.0,450.0,100.0,Number,False
OF-005,Headcount,Seasonal,2024-01,70.0,80.0,87.5,Number,False
OF-005,Headcount,Seasonal,2024-02,75.0,80.0,93.75,Number,False
OF-005,Headcount,Seasonal,2024-03,,80.0,,Number,True
OF-005,Headcount,Seasonal,2024-04,85.0,80.0,106.25,Number,False
OF-005,Headcount,Seasonal,2024-05,90.0,80.0,112.5,Number,False
OF-005,Headcount,Seasonal,2024-06,88.0,80.0,110.0,Number,False
OF-005,Headcount,Seasonal,2024-07,82.0,80.0,102.5,Number,False
OF-005,Headcount,Seasonal,2024-08,,80.0,,Number,True
OF-005,Headcount,Seasonal,2024-09,75.0,80.0,93.75,Number,False
OF-005,Headcount,Seasonal,2024-10,78.0,80.0,97.5,Number,False
OF-005,Headcount,Seasonal,2024-11,80.0,80.0,100.0,Number,False
OF-005,Headcount,Seasonal,2024-12,,80.0,,Number,True
OF-001,Line Efficiency,Line A,2024-01,0.83,0.85,97.65,%,False
OF-001,Line Efficiency,Line A,2024-02,0.84,0.85,98.82,%,False
OF-001,Line Efficiency,Line A,2024-03,0.86,0.85,101.18,%,False
OF-001,Line Efficiency,Line A,2024-04,,0.85,,%,True
OF-001,Line Efficiency,Line A,2024-05,0.85,0.85,100.0,%,False
OF-001,Line Efficiency,Line A,2024-06,0.83,0.85,97.65,%,False
OF-001,Line Efficiency,Line A,2024-07,0.84,0.85,98.82,%,False
OF-001,Line Efficiency,Line A,2024-08,0.86,0.85,101.18,%,False
OF-001,Line Efficiency,Line A,2024-09,,0.85,,%,True
OF-001,Line Efficiency,Line A,2024-10,0.85,0.85,100.0,%,False
OF-001,Line Efficiency,Line A,2024-11,0.84,0.85,98.82,%,False
OF-001,Line Efficiency,Line A,2024-12,,0.85,,%,True
OF-002,Line Efficiency,Line B,2024-01,0.8,0.82,97.56,%,False
OF-002,Line Efficiency,Line B,2024-02,0.81,0.82,98.78,%,False
OF-002,Line Efficiency,Line B,2024-03,0.83,0.82,101.22,%,False
OF-002,Line Efficiency,Line B,2024-04,0.82,0.82,100.0,%,False
OF-002,Line Efficiency,Line B,2024-05,,0.82,,%,True
OF-002,Line Efficiency,Line B,2024-06,0.8,0.82,97.56,%,False
OF-002,Line Efficiency,Line B,2024-07,0.82,0.82,100.0,%,False
OF-002,Line Efficiency,Line B,2024-08,0.83,0.82,101.22,%,False
OF-002,Line Efficiency,Line B,2024-09,0.81,0.82,98.78,%,False
OF-002,Line Efficiency,Line B,2024-10,,0.82,,%,True
OF-002,Line Efficiency,Line B,2024-11,0.82,0.82,100.0,%,False
OF-002,Line Efficiency,Line B,2024-12,0.8,0.82,97.56,%,False
OF-003,Line Efficiency,Line C,2024-01,0.78,0.8,97.5,%,False
OF-003,Line Efficiency,Line C,2024-02,0.8,0.8,100.0,%,False
OF-003,Line Efficiency,Line C,2024-03,0.81,0.8,101.25,%,False
OF-003,Line Efficiency,Line C,2024-04,,0.8,,%,True
OF-003,Line Efficiency,Line C,2024-05,0.79,0.8,98.75,%,False
OF-003,Line Efficiency,Line C,2024-06,0.8,0.8,100.0,%,False
OF-003,Line Efficiency,Line C,2024-07,0.78,0.8,97.5,%,False
OF-003,Line Efficiency,Line C,2024-08,,0.8,,%,True
OF-003,Line Efficiency,Line C,2024-09,0.81,0.8,101.25,%,False
OF-003,Line Efficiency,Line C,2024-10,0.79,0.8,98.75,%,False
OF-003,Line Efficiency,Line C,2024-11,0.8,0.8,100.0,%,False
OF-003,Line Efficiency,Line C,2024-12,,0.8,,%,True
OF-009,Training Completion,External,2024-01,5.0,50.0,10.0,Number,False
OF-009,Training Completion,External,2024-02,6.0,50.0,12.0,Number,False
OF-009,Training Completion,External,2024-03,4.0,50.0,8.0,Number,False
OF-009,Training Completion,External,2024-04,,50.0,,Number,True
OF-009,Training Completion,External,2024-05,7.0,50.0,14.0,Number,False
OF-009,Training Completion,External,2024-06,5.0,50.0,10.0,Number,False
OF-009,Training Completion,External,2024-07,6.0,50.0,12.0,Number,False
OF-009,Training Completion,External,2024-08,,50.0,,Number,True
OF-009,Training Completion,External,2024-09,4.0,50.0,8.0,Number,False
OF-009,Training Completion,External,2024-10,5.0,50.0,10.0,Number,False
OF-009,Training Completion,External,2024-11,7.0,50.0,14.0,Number,False
OF-009,Training Completion,External,2024-12,6.0,50.0,12.0,Number,False
OF-008,Training Completion,Internal,2024-01,0.8,1.0,80.0,%,False
OF-008,Training Completion,Internal,2024-02,0.85,1.0,85.0,%,False
OF-008,Training Completion,Internal,2024-03,0.9,1.0,90.0,%,False
OF-008,Training Completion,Internal,2024-04,,1.0,,%,True
OF-008,Training Completion,Internal,2024-05,0.88,1.0,88.0,%,False
OF-008,Training Completion,Internal,2024-06,0.92,1.0,92.0,%,False
OF-008,Training Completion,Internal,2024-07,0.85,1.0,85.0,%,False
OF-008,Training Completion,Internal,2024-08,0.9,1.0,90.0,%,False
OF-008,Training Completion,Internal,2024-09,,1.0,,%,True
OF-008,Training Completion,Internal,2024-10,0.88,1.0,88.0,%,False
OF-008,Training Completion,Internal,2024-11,0.91,1.0,91.0,%,False
OF-008,Training Completion,Internal,2024-12,,1.0,,%,True
OF-007,Staff Turnover Rate,ALL,2024-01,0.03,0.02,50.0,%,False
OF-007,Staff Turnover Rate,ALL,2024-02,0.02,0.02,100.0,%,False
OF-007,Staff Turnover Rate,ALL,2024-03,0.02,0.02,100.0,%,False
OF-007,Staff Turnover Rate,ALL,2024-04,,0.02,,%,True
OF-007,Staff Turnover Rate,ALL,2024-05,0.03,0.02,50.0,%,False
OF-007,Staff Turnover Rate,ALL,2024-06,0.02,0.02,100.0,%,False
OF-007,Staff Turnover Rate,ALL,2024-07,0.01,0.02,150.0,%,False
OF-007,Staff Turnover Rate,ALL,2024-08,0.02,0.02,100.0,%,False
OF-007,Staff Turnover Rate,ALL,2024-09,,0.02,,%,True
OF-007,Staff Turnover Rate,ALL,2024-10,0.02,0.02,100.0,%,False
OF-007,Staff Turnover Rate,ALL,2024-11,0.03,0.02,50.0,%,False
OF-007,Staff Turnover Rate,ALL,2024-12,,0.02,,%,True
PP-001,Employee Engagement Score,ALL,2024-01,,80.0,,Number,True
PP-001,Employee Engagement Score,ALL,2024-02,78.0,80.0,97.5,Number,False
PP-001,Employee Engagement Score,ALL,2024-03,,80.0,,Number,True
PP-001,Employee Engagement Score,ALL,2024-04,79.0,80.0,98.75,Number,False
PP-001,Employee Engagement Score,ALL,2024-05,,80.0,,Number,True
PP-001,Employee Engagement Score,ALL,2024-06,80.0,80.0,100.0,Number,False
PP-001,Employee Engagement Score,ALL,2024-07,,80.0,,Number,True
PP-001,Employee Engagement Score,ALL,2024-08,81.0,80.0,101.25,Number,False
PP-001,Employee Engagement Score,ALL,2024-09,,80.0,,Number,True
PP-001,Employee Engagement Score,ALL,2024-10,79.0,80.0,98.75,Number,False
PP-001,Employee Engagement Score,ALL,2024-11,,80.0,,Number,True
PP-001,Employee Engagement Score,ALL,2024-12,80.0,80.0,100.0,Number,False
PP-002,Lost Time Injury Rate,ALL,2024-01,0.0,0.0,100.0,Number,False
PP-002,Lost Time Injury Rate,ALL,2024-02,0.0,0.0,100.0,Number,False
PP-002,Lost Time Injury Rate,ALL,2024-03,1.0,0.0,0.0,Number,False
PP-002,Lost Time Injury Rate,ALL,2024-04,0.0,0.0,100.0,Number,False
PP-002,Lost Time Injury Rate,ALL,2024-05,0.0,0.0,100.0,Number,False
PP-002,Lost Time Injury Rate,ALL,2024-06,,0.0,,Number,True
PP-002,Lost Time Injury Rate,ALL,2024-07,0.0,0.0,100.0,Number,False
PP-002,Lost Time Injury Rate,ALL,2024-08,0.0,0.0,100.0,Number,False
PP-002,Lost Time Injury Rate,ALL,2024-09,0.0,0.0,100.0,Number,False
PP-002,Lost Time Injury Rate,ALL,2024-10,1.0,0.0,0.0,Number,False
PP-002,Lost Time Injury Rate,ALL,2024-11,0.0,0.0,100.0,Number,False
PP-002,Lost Time Injury Rate,ALL,2024-12,0.0,0.0,100.0,Number,False
PP-003,Near Miss Reports,ALL,2024-01,8.0,10.0,120.0,Number,False
PP-003,Near Miss Reports,ALL,2024-02,12.0,10.0,80.0,Number,False
PP-003,Near Miss Reports,ALL,2024-03,9.0,10.0,110.0,Number,False
PP-003,Near Miss Reports,ALL,2024-04,,10.0,,Number,True
PP-003,Near Miss Reports,ALL,2024-05,11.0,10.0,90.0,Number,False
PP-003,Near Miss Reports,ALL,2024-06,10.0,10.0,100.0,Number,False
PP-003,Near Miss Reports,ALL,2024-07,,10.0,,Number,True
PP-003,Near Miss Reports,ALL,2024-08,12.0,10.0,80.0,Number,False
PP-003,Near Miss Reports,ALL,2024-09,8.0,10.0,120.0,Number,False
PP-003,Near Miss Reports,ALL,2024-10,10.0,10.0,100.0,Number,False
PP-003,Near Miss Reports,ALL,2024-11,11.0,10.0,90.0,Number,False
PP-003,Near Miss Reports,ALL,2024-12,,10.0,,Number,True
PP-004,Sick Days per Employee,ALL,2024-01,3.2,3.0,93.33,Number,False
PP-004,Sick Days per Employee,ALL,2024-02,2.8,3.0,106.67,Number,False
PP-004,Sick Days per Employee,ALL,2024-03,3.1,3.0,96.67,Number,False
PP-004,Sick Days per Employee,ALL,2024-04,,3.0,,Number,True
PP-004,Sick Days per Employee,ALL,2024-05,3.4,3.0,86.67,Number,False
PP-004,Sick Days per Employee,ALL,2024-06,2.9,3.0,103.33,Number,False
PP-004,Sick Days per Employee,ALL,2024-07,3.0,3.0,100.0,Number,False
PP-004,Sick Days per Employee,ALL,2024-08,,3.0,,Number,True
PP-004,Sick Days per Employee,ALL,2024-09,3.3,3.0,90.0,Number,False
PP-004,Sick Days per Employee,ALL,2024-10,2.8,3.0,106.67,Number,False
PP-004,Sick Days per Employee,ALL,2024-11,3.1,3.0,96.67,Number,False
PP-004,Sick Days per Employee,ALL,2024-12,,3.0,,Number,True
